text,label
ps i'm loving this gritty hair clay,0
i might end up on this all night,0
lit and spanish final tomorrow not sure if i'm gonna watch the mtv movie awards now,0
has to do two 50 page assignments this weekend there goes any chance of relaxation,0
nah its 1220 in the afternoon i could never fall asleep now,0
sonny you are a mystery man,0
awww thanks haha added you xx,0
working at home will be a short week have some holidays at the end of the week,0
stay tuned on the channel more updates are coming soon,0
you should also try following people who u like and reply to thier so,0
is having a good night,0
love makes the world go round,0
trying to get use to this computer,0
copy and save everything for the next 5 days for 1,0
no brown cow for me,0
yup i already had done with first set,0
you can tell jason you made someone new a fan of amp haha,0
it feels good to workout wish i had a trainer,0
ca n't fall back asleep,0
you 're no fun on fridays,0
so i'm happy right now cos i finally have internet on my phone,0
gimme a mo and i 'll have an answer,0
where 's the dog show,0
i just did n't want you to freak out because i'm really fine,0
i'm actually in pittsburgh for a game and nbc does n't let it be on the big screen,0
i 've decided i freakin love that beauty shot,0
beddy then schoool packing for dc,0
nah they all still like 3 and up,0
please tell edward vampires always do it better,0
pure broke i'm afraid tell your better half i'm sorry i'm still dying to catch them,0
hopes that it wo n't rain tomorrow,0
3 minutes to family guy i'm good,0
no not noah 's ark,0
i 've been spoiled by my professor aaah this is not gooood,0
it 's a rendering bug,0
sitting here sick as a dog oh well what can you do,0
so happy there is only 2 weeks left,0
that 's so damn early,0
good 2 see u again amp thanks 4 the shirts,0
just saw a trailer for a remake of fame,0
does not want to be at school,0
is just gonna say quothappy mother 's dayquot to all you moms instead of posting an individual message on each of your pages,0
not about the burning i saw your tweet from this morning about all the great pampering,0
affordable and bigger rig do n't necessarily go together,0
been mia hope everyone is doing well,0
ur shooting carmen thats model number 2 that i want that you 've gotten to shoot i want her more than jasmine,0
does n't seem to be working,0
i have had bad experiences in this house before,0
no james 2day maybe ill c him 2morrow,0
apple cinnamon cheerios have shredded my mouth,0
im super hungry but have nothing at all to eat,0
i 'd say so i slept the day away and i'm probably going to go read in a little while,0
morning enjoy the rainy day,0
me i'm never bad always good,0
hope u have safe flight,0
i do n't like being hot my air cooler is just not cutting it,0
my mom doesnt want to i guess lol,0
have to tidy up my room,0
love the smell of clean sheets gonna sleep good tonight,0
esp if u have a mac,0
saw pics from your wedding,0
i really wish i could remember my dreams,0
so i say good nite to you all,0
we gotta get you some insurance,0
i got back most of my voice,0
the sore throat is still here,0
thanks for that will be very useful,0
it would ruin my dayyy,0
hulu app for iphone but will it work in canada,0
i cant believe i have 25 days to get out of my house,0
see you twitterland after a while,0
takin a break from the clubs please dont tell me where u at,0
i have n't either resorting to iplayer to watch this afternoon tho as tivo let me down,0
amp they 're the most difficult ones,0
i'm having a sweet tea too,0
i want to stop smoking this year,0
it was huge when they got done taking turns fucking me,0
just snagged an actual armadillo shell complete with all four limbs and its tail on ebay baby nice sick texture reference,0
it 's my alter ego of several years,0
it 's colder but love just hanging out,0
sorry im late to respond on this but yeah i do n't only have macs we 're a mixed household thanks for the weather update,0
3 seems perfectly adequate maybe you just need to pimp your proud achievement more,0
i am so very sorry i really truly am,0
i'm sick but coachella was,0
how has your weekend been,0
it 's 6 in the morning been awake for awhile why ca n't i be snuggle sleeping like jb,0
ow do you have much to do today,0
my bday party was ok but to much rubbish to clean,0
seriously she left me why now,0
i have n't been watching i 'll probably tomorrow,0
yes it was pretty bad,0
really needs to learn how to say no when someone asks for a favor it is quite insane,0
also no fb at work just twitter,0
first day of holiday and i 've woke up full of cold,0
i just sent you a text,0
household items to be used in a sink or float experiment,0
you deserve to be proud of that accomplishment,0
hugs and a kiss on the cheek,0
and my 2nd day at summer camp is about to start,0
which is precisely what i am doing now,0
i hope you have a super saturday x,0
its been a while since i have been off on a sat,0
i just messed up on the same twice,0
taking my bike for a spin,0
i'm working on making you popular in belgium,0
i bet it is in france they 're always on holiday,0
going to leave in a second for babysitting all day,0
i hope it 'll be better soon,0
wishing i was at home with my little girl not at work still of to heathrow tonight for a slap up dinner in a posh hotel,0
try useful fascinating and kinda brutal,0
who says it 's only a christmas thing,0
lol nah jk what u want bae,0
i'm getting hungry again too,0
wow she dreamt about me,0
me to and tomorrow one week i miss them,0
aww dang bunny i miss getting crunk with you,0
you left your twitter logged in i love love love you baby,0
i would attend if i was n't seeing grizzly bear,0
almost 7am 0_0 some people are waking up now i didnt even go to sleep,0
sucks to be me today,0
i broke my healthy eating twice yesterday with a mc flurry frozen yoghurt,0
im pretty sure that just being in new moon is payment enough haha it would be for me lol,0
i do have work to do as well but working on my own till 6am gets boring with nothing in the background,0
ok so it looks like everyone else is out having a life tonight i guess i 'll go and watch conspiracy theory or something,0
really wish i had my mobile phone to share my experiences oh well back out in the sunshine off out to get lost again,0
just watched their wedding video and is soooooo happy,0
babe i am so sad,0
i have no money for cupcakes,0
storm chasing is very exciting i actually got my card in w texas,0
i'm sick and home sick,0
give me info amp i 'll come along,0
i forgot how much fun coloring is,0
of course it does n't really explain it i googled it but found no explanation,0
watchin 'im a celebrity get me out of here yeah i have nothing to due lmao,0
i 'll be inthe chair for like 6 hours at least,0
and this is my first blip,0
but any new mommy snacks will be hidden,0
i did n't answer a single question haha,0
i 've now lost my voice,0
when i saw this post i already knew who u were talking about by the way r u goin to pride,0
upgrade fail i'm not keen it lies and it cheats,0
shit weather back in vienna rain sux big time,0
i feel like watching lost but i have to wait to dad,0
we 're strange 'd amp cool xx,0
why jon and kate why,0
rs getting ready for state of origin time,0
it 's really hard to do the dishes with the ipod under your arm,0
your eyes must be falling out of your head by now,0
time to start a new productive week,0
means princess so there ya go class dismissed,0
watching the ms confrence online seeing if i had missed anything,0
i read both series sv twins amp also the sv high series too did u read the babysitter 's club books too,0
it might be the tv 's fuse,0
good point but you guys already have a voice of reason so what can i be,0
i got a new band for you to check out,0
i hope you have a good weekend too,0
i have heard you complain numerous time sort of like a terms of service lol,0
hmm ok well i hope you feel better soon babe ima go to bed i have a long day tomorrow,0
i love lettuce and tomatoes mmm,0
is going to fail his exams,0
or we can play whats up anita 's butt and we can choose glass dildo and be right,0
fall is here and we need to get ready for winter,0
whoo hoo ill be listening,0
season 3 is not the last season for hannah montana right,0
off to bed got school tomorrow my school is almost the only one that is opened tomorrow,0
fun night of mojitos and theology,0
i feel so guilty she will never trust me again,0
yeah our version of international is including canada,0
which version of the song do you prefer now,0
flight delayed its too hot in here,0
haha not 400 times just 400 points,0
um they were actually prob following you and nicki,0
i actually said that to myself today,0
i ran outta text for,0
i want to know the new tour dates i'm so excited,0
got the keys 4 my new flat this morning,0
give a shout out to meeeeee love you xxxxxxxxxx,0
and of the truth of it or lack of truth,0
i just could n't sleep and got bored by 6am so i drove to work,0
who got number one in the end,0
feels the shame of losing two followers he did n't even know,0
i admit i talk less to folks that i do wyou,0
where we r if no power no water either,0
thermometer showing 25c at the moment,0
oh no bing was more efficient on my search for sunset hours than google,0
sweetie if you refuse to offend who will,0
but suddenly i realize quoti'm turning 24quot,0
looking for new songs on the net,0
last week of class at ut,0
i hate sleeping alone time to try and get stuff sorted out k,0
so how is it that i have this set to receive updates on my phone but i do n't actually receive the updates,0
need to be getting ready but need to post a link for atl fans incase you havent seen it yet,0
still didnt do my poster i guess that will have to be done after work tomorrow as for now im going to bed night,0
upon hearing ed mcmahon was dead i was more upset to discover carson died 4 years ago,0
well its okay but when it rains its bad,0
just woke up from nap,0
norway is on my list of future biz trips but by then you 'll prolly be in the us and i can see you like crazy,0
y arnt u getting it,0
is home from the baseball game too bad we lost,0
is going to have a long week,0
i'm home but have stuff i have to do so i will not b online,0
just had yummy strawberries and grapes for breakfast now just waiting to get in the shower and then a bit of french revision,0
this hiatus of yours is like really long,0
sunburnt from the weekend on the welsh beaches,0
k so my hair is drying right now,0
i wish i knew what to do,0
hmm yup being naughty and posting 2x again,0
got myself a new camera today,0
i'm just following you because we 're both wearing converse,0
baking a cake thinking of plain with a little bit of chocolate in it,0
you mean there 're more to life than,0
i was off twitter for a few days and lost 15 followers,0
ouch my antibiotic just got caught in my throat,0
can you please comment me so i know that im twitting right,0
on the way to church now gbu,0
i did n't mean to,0
my copy still hasnt come though and i ordered it like 2 months ago,0
lol i still have a couple of them on my computer,0
work is super depressing everyones talking about me leaving i am gonna miss these guys,0
i waited 8 weeks for it surprise surprise within a day i lost it,0
off out to play pitch and putt,0
if you want to talk about it you can text me,0
i caught one after the show here in so paulo,0
off now for business revision,0
lol no need to be hurtful scott,0
i cant even afford an invisible webcam right now lol,0
now all i need is a trip to oklahoma to make it even better,0
my ass is nice and tan,0
troubleshoot and to no avail,0
i knew he 'd been ill jg ballard rest in peace,0
they 're very easy crescent rolls apples mt,0
anyone who 's somebody can meet us there,0
my gcse maths exam went pretty well,0
after tomorrow i'm trying to figure what is real meaning of life,0
i missed my friend 's bday party because i had to frickin' work amp it sucks real bad,0
they asked like everything i did n't know,0
ca n't wait to hear,0
what a great saturday night,0
wolverine was alot better than i thought it would be,0
new friend nice to meet you,0
car was broken into my fish died this was a bad week,0
i wish i could see some friends tonight,0
watched milk so sad i nearly cried at the end,0
i envy u rite now,0
the more i learn the more i can fix it,0
i must find it and try it on again,0
enjoyed her first day back at school,0
i love hockey its like the only sport where ur allowed amp even encouraged to slam ppl into walls amp be violent,0
i feel an upset stomach coming,0
ps3 and pc hooked up to same display,0
gonna design a new banner for my myspace today in photoshop i'm super stoked,0
i dont do anything important,0
what 's going to be the name of the new album,0
my first time using microsoft bing yesterday was to do a search on myself,0
me thinks it 's just the pain from holding in my poop,0
you and bruce are the best,0
hey i totally forgot about our plan prime and toast,0
just woke up now about to drive 10 hours to virgina yuck,0
wrecked and sad that the weekend is just over,0
i absolutely adore this look,0
or maybe i'm doing it wrong,0
it was nice meeting you last night,0
have to write an essay and really cba,0
i was working all day too hope you enjoyed the uh state capital,0
i dreamt last night that i shaved my head,0
it 's such a chilly day,0
had a good day yesterday and feels confident about her exams,0
first round of finals tomorrow wish me luck,0
tonight the theater and premiere party but what should i wear,0
