text,label
oh and the goody had to be an american with a conscience indeed many americans have them but here the concept was misplaced,0
i do n't know why the producers do n't put the shows on a dvd,0
and how will they get rid of them,0
this truly obscure neonoir from 1988 is memorable as uma thurman 's first starring role and also has a bit part from steve buscemi,0
the plot runs with three different romances deals wonderfully with unrequited love and really shows how difficult it is for some men to deal with their homosexuality there is simply not enough time to really go into the characters or the plot and when the movie was finished i was wanting more,0
ok other than the few positive reviews on here i agree with most of the things already said,0
instead he soon finds the trail pointing to the one man with an alibi of sorts cassidy,0
the heavies were ok although i did n't like their makeup,0
the first time i saw crumb the movie i suppose i was a tad too young to grip what was going on,0
is his whole life here empty and pointless,0
the best support however comes from rachel griffiths as joe 's girlfriend also a cop,0
i would say nice try they did it because they have guts less afraid to fail,0
by making a war film boll has proved himself yet again as a completely derivative and wannabe director who is not concerned with either originality artistic impact or entertainment value,0
plus i'm not quite sure if i like the idea of a motorcycle that both swears and gets turned on by women,0
and errol flynn gets the girl,0
and the horses seem to have gears in them too considered the fastforward chases,0
the performances are good the settings suggestive the script often clever and funny and the whole experience quite entertaining,0
oscarcaliber work by everyone involved both in front of and behind the camera,0
i could really go on and on about the film,0
gabe has trouble putting it into perspective and tries to remember the good times they had,0
when does the king poison the wine,0
his cartoons were exceptionally inventive and surreal with many weird touches that were later celebrated in the movie the mask,0
after spotting the boat at the end of the previous episode the survivors are shocked to find out who the occupant is,0
astrid and vivian hate each other,0
and more all in eighteen minutes,0
allowing characters to be who and what they are without judgment is something american tv hardly allows,0
the director should be blacklisted and for all the poor actors it is for sure not a jumping board into a career,0
every part of this movie reeks of banality as the movie chugs along from points a to b to c solely to fulfill the trilogy,0
shuisheng soon finds that she is not a nice person and he gets back at her when he can,0
but do n't worry about being confused,0
i would have plucked out my eyes after watching this if it was n't for the fun of watching annie potts in a very early role and it 's too bad for hamill that he did n't take a few acting lessons from her,0
as you can imagine dallaire was devastated by this experience,0
at least i would n't have gotten bored after an hour and changed channels,0
i liked nearly all the movies in the dirty harry series with the exception of the one i think is titled enforcer,0
there 's a showdown in the mountains and soon regina and floyd fall into the river and are given the ride they deserve,0
when she drove away to go home the scene was exactly the same as the one when she was travelling in the opposite direction,0
the audience sees the ugliness of both of these classes through the eyes of the protagonist,0
in one scene it looks like one of the eyes in it was burned out,0
the plot is absurd which is to say that it 's perfect,0
'just one of the girls' is about a high school kid who tries to avoid his bullies by dressing up as a girl and attending another school,0
if your going to produce a special effect movie at least have the basics with which to carry it off,0
fraser kerr in this movie did even with a very limited screen time and lines,0
this new yorker cartoon i saw yesterday is appropriate a few movie execs are having a meeting the caption reads let 's remake a classic with worse everything,0
best miniseries of all times,0
this hits the nail on the head in that regard,0
that 's the soft sell,0
i must admit i have never seen an ed burns film before nor have i seen him act much before except for saving private ryan,0
i ca n't believe by coincidence i decided to look up this movie go figure,0
if only this was indeed a real full length film,0
yet its somehow all around us in each advertising break news bulletin insights into worlds we are free to observe but not interact with or help secure we think but always being observed,0
from the finely crafted sets to those haunting looks meena kumari gives no one can ever forget it,0
she is n't nearly so visually arresting out of leather,0
it was nice that they addressed her by her real name susan,0
bert lahr 's comedy skits were interminable,0
when marie does attempt to move away from jean 's memory the new lover after only one night is already volunteering to help her with her problem,0
and this movie is three hours long,0
this leads to my next point the humour is boring,0
i do n't really know whether it 's true or not,0
the story while not exactly original certainly showed some promise,0
patrick yau is well on his way to becoming one of the best directors in hong kong,0
the language is harsh but funny and for most people it will add to the enjoyment,0
i missed the first probably 10 minutes but that does not matter this film literally gripped me it is a real spine chiller,0
