text,label
i always appreciate movies taking place in new orleans that include this detail as this one did,0
it 's an inner look into the darkest parts of human sexuality,0
the subtle brilliance in the film lies in the fact that it also digs at smart people and average joes like the protagonists,0
who wants to see teenager kay lenz being brutally raped,0
warfield lends a quiet maturity to the role of the older sister that is effective as well,0
all in all the movie was just awesome,0
the film 's somewhat contemptuous sentiment at the ruling class will probably remind one of bunuel 's flights into similar territory,0
is there really a lost city of gold somewhere upon native land,0
ken branagh and friends might enjoy making this film but they provide us with a stomach turning collection of roles,0
all of the actors look at least uncomfortable angie dickenson looks positively mortified except for rain phoenix who gives the impression that she is too unaware to realize how awful her performance really is,0
i mean it does n't take much to make a good zombie movie besides good special effects lots of blood and gore some scary moments and a decent plot,0
armstrong get themselves outrageously madeup to look like the cartoon creations of strip author chester gould and then indulge in an exercise of carving the biggest slice of ham you 've got to love this film,0
yes it really is that bad,0
keep an open mind about actors and budget and you will have a good time,0
well now i'm sure i 've uncovered an earlier example of this bizarre phenomenon,0
some sections are a little tough here and there but overall you can beat this game,0
he tries his best with father conroy and his best moments are musical ones especially with debbie reynolds but the story is not convincing,0
but then again i 've watched howling vii about five times now so maybe you really should n't be listening to me,0
perhaps the most painful point of the movie was the subplot about the ghost confederate soldiers that seem to be of little to no help to the story,0
the scene in which moe is having trouble with the oyster was done before with curly in dutiful but dumb,0
and novel animation touches appear right up to the end,0
save your time if not money and give this movie a pass,0
there 's lots of humor in the movie but no pulling back on the anger they feel,0
i like jeff daniels but he should stick to acting and forget writing,0
unfortunately for me i had to sit through the whole thing as i had started it and it was too hot and windy to go outside,0
the only reason why i watched it was because of christina lindberg,0
it evolves around a very cool and handy system where it 's very easy to get accompanied by people in younger ages due to the very basic system of the game which is actually great,0
churning out garbage like this will do nothing for her reputation and continued employment in the film industry,0
a young fighter tries to enter a competition when he is not ready and is not selected to represent his fighting school,0
the use of colours is also noteworthy,0
boytown jumps between being a normal film a behind the music documentary and a fly on the wall documentary which ends up only confusing the audience,0
that is until a few people turn up dead,0
crawford and lionel barrymore not only make their clichd lines and characters wholly believable they literally walk off into the sunrise together at the end as clichs often do,0
there should be no compromise because that child is in the world because of your choice,0
this experimental silent film made in switzerland by an independent british film company is chiefly remembered as paul robeson 's first film,0
both aykroyd and chase have been better and both have had better material to work with i'm sure,0
if one is not familiar with the original plot i assure you this is not a bad film for you to see but if you ever wish to see the original or are as i am a diehard fan of the classic play you would do best to avoid the film altogether,0
the thing that makes the film rise above the mediocre to me is its stunning visual and aural beauty,0
like a lot of those 1950s pictures written on the wind was shot entirely in a studio lot,0
a dozen quirky characters come and go most prominently keenan wynn as douglas 's friend who does nothing but make wry comments,0
so what 's so special,0
a movie which has for several times dialogs just like i will pass there later ok,0
one must not forget that these actors were not forced in to this film they are alist and willing participants to something that let 's face it would surely have had high and eager public expectation,0
the character development and witty script allowed me to sit there for an hour and a half and be amused,0
sandra bullock was out of her element and should stay away from these types of movies,0
the average american just has a hard time to understand that getting rid of a few bags of trash may become an almost insurmountable problem that finding new friends among your neighbors or colleagues at work can be so difficult,0
i cannot pinpoint the reason for this maybe it was the bad moustache sitting above his lips or maybe because i never pictured jalaluddin mohammad akbar to have such a beautiful body,0
late albert popwell had a different role in all of dirty harry flicks except the last one,0
claire is stalked and possibly killed by a serial killer,0
awesome awesome experience all throughout,0
tedious plot padding comes in the shape of pointless ventures to venice only to kill a prostitute and moan some more at a priest,0
let us go back to vertigo the obvious source of this film,0
to the remaining cast and crew that are still around if you see this comment,0
the story begins when her sappy cousin arrives at eva 's mansion and boy is she in for one wild ride,0
this movie reminds me of ed wood 's plan 9 from outer space,0
transparent acting distanced me from the movie as well as bad camerawork and things that just make you go wow that 's incredibly cheesy,0
i think there are many fine actresses that could have played hunter 's role and because of her antiamerican positions i think the role should have been given to someone else,0
it 's a pity that smart approaches to horror from hollywood such as the academy seem to have mostly died off with rod serling,0
overall though a really good movie on a very tough topic,0
it was cheesy and fun,0
richard gere and claire danes pair up ala david duchovny and gillian anderson only that they do n't belong to any federal investigative agency who bear arms but are employees of protective services who 's chief role is to ensure that sexual predators who belong to their jurisdiction are kept safe from society when they are released from having served time,0
from beginning to end dumb dumber is sheer hilarity,0
the homes they return to with grown children and independent working women along with a depressed economy only add to the strife,0
instead the flow of the story is told by occasional narration by the main character further punch is added by the fantastic soundtrack,0
if you enjoy actionoriented period films and you are n't bothered by inaccurate historical accounts you may enjoy this film,0
in high school nobody wants to go to the prom with you,0
there 's a lot of lines like that but not funny just out of context,0
having little kids call each other sexual names and urinate and puke on each other just makes the whole thing feel dirtier,0
it 's not a great guide as far as providing facts about holliday 's life,0
i was surprised by their performance expected more since they 're good actors,0
contrary to some opinion this in my view makes perfect sunday night viewing,0
the producers had thought about casting marlon brando in the title role but sinatra beat brando to the punch,0
the singing from owl jolson and the rest of the music in this short is very good another thing that makes this short worth watching,0
one of the messages i got from it was that maybe all failures and accidents are not fatal after all,0
there is more atmosphere at the local giant in the middle of the most mundane of weekday afternoons,0
a horror movie that is fourth in a series should be terrible,0
