text,label
i'm only leaving for one night,0
are you enjoying your time off,0
now you sleep your at least 2hrs ahead of me and it 's 1am here,0
the link does n't work,0
i hope you two will make another concert here,0
edited the heck out of of course,0
my cousin weed on it,0
is working on this patriots day,0
but i heard the signal is unstable so i'm worried,0
right as my jimmy was ending his sketch,0
i like jus kickin it by myself every now and then,0
i miss his tweets xxx,0
has got the late night munchies and exhausted as helll,0
where 's my spelling checker,0
morning im ready and raring to go for this exam but im more excited for the wonderful girls aloud,0
at the nc jr beef ru in the graham bldg on the nc state fairgrounds,0
you 've not been caught yet though,0
because i sure do n't,0
jon amp kate drama makes me extremely sad,0
havent been on here in ages sorry twitter tweetdeck is broken,0
then out for a drive,0
my pictures normally sell for millions,0
your site 's all screwy,0
i'm bored and just listened to one of your podcasts on itunes,0
we eva had a bad dream and woke us all up at 710 am boohoo,0
yayayay ice cream truck just came by my house,0
very happy with my golf game,0
i wont have any money this thursday what bout next thursday,0
my feelings are hurt now me sad now me wanna beer lol,0
would be hard to concentrate for translation,0
has nothing to do right now,0
sorry i have n't be online been working a lot thanks for getting me to number one,0
1 issue solved 22 to go woohoo,0
the twilight books are amazing are you enjoying so far,0
you are right no harm done all cool this end,0
will you be my friend,0
my eyes are burning my ears are ringing my throat burns im about to throw up and theres noone to cover my shift,0
for once i wish someone was awake to talk to i'm in a deep low right now,0
arghhh ow this better be worth it,0
omg that force india is a mess,0
is up time for a shower and more sunbathing whoop,0
need to decide which one since i ca n't have the one i love,0
i'm here for you let 's get together,0
listening to night 3 of hubby teaching julia to fall asleep on her own,0
just took a look that 's an hour bus ride away from me does n't look like i 'll be able to make it,0
i left my mac at my place of work,0
all i 've had to eat today was a bag of swedish fish,0
sooo glad to be out of the savannah dramas but oh how i miss you and just you,0
hmmm maybe it takes awhile,0
watching the spreadsheet being updated has to be one of the most amazing things i have seen for a long time,0
hope it went well it 's rainy outside but inside me the sun is high in the sky,0
i never find it stable,0
have n't played for a while but last time i played she liked pine more than me ca n't blame the kid though,0
we are shortly going to have pancakes with raspberries for the same reason,0
thought i had 2 suitcases but alas only 1 gonna have to buy another before i leave,0
scratching my head trying to figure out why my webpage is n't working,0
people will still be playing it a hundred years from now,0
it was way better than gossip girl,0
somebody just dropped her iphone and cracked the screen pretty bad and it 's me,0
