text,label
this is a great film very original,0
8 stars for the movie and 3 stars for the dvd,0
the combat scenes you guessed it over the top,0
but since i must include at least 10 lines to post a comment i will say that rosario dawson was largely unknown to me as a viewer,0
if your going to make a movie about wi maybe spend a few minutes there first,0
and everything happens in an often barely discernible gloom even indoors,0
you will thrill when you hear colman rouse that rabble of low degree even if he does n't sing,0
the fact that this film exists is a crime against the word film itself,0
they should have spent a bit more money getting a coherent script,0
and the movie moves in the glacial pace that makes it atrocious to watch it is the cinematic exercise in tedium for the sake of artistic expression without tightening up,0
it goes way overboard to make every character have a serious hang up about something and of course there is jane curtain 's mental illness oh thats always a great subject to laugh about,0
at least it did n't have the jiggling handheld camera syndrome,0
just imagine what carpenter can do with a hollywood level budget,0
in the first one night in the tropics the boys were purely there for comic relief and played a very small part in the film,0
let say i enjoyed the great escape a lot more,0
they only want their monstrous animal to be be bigger sicker and more threatening but this more than often results in the opposite effect,0
as long as i did n't have to listen to that man any longer benigni needs an editor on his dialogue,0
john saxon gets to join in the fun also and there 's also a place for fellow american actor barry sullivan in the role of the villain,0
she is presented as caligula 's wife together with drusilla his sister,0
i kept waiting for someone to bust out a bull whip,0
i had watched this as a kid but not being much of a jerry lewis fan i had completely forgotten it,0
you can also ask them to show it on television,0
i think the movie suffers from a lack of sex and violence though there is one car chase stunt that looks so dangerous it could only have been filmed in a country where life is cheaper than beer,0
at lot of that is due to the subtlety of the sound it does not overpower or try to manipulate it merely stays mostly in the background and enhances the suspense rather than detract,0
watching moreau 's portrayal through these transitions lends a reallife atmosphere to the proceedings and is the primary delight of this film,0
i am a very big jim carrey fan,0
i truly appreciate scarlett johansson 's work and lord knows that she tried her best here,0
because despite the title it 's a poor excuse to make money off the scifi channel,0
i reviewed this movie as part of a project at the library of congress,0
if anyone wants a copy private message me,0
the ups and down of a family,0
the premise was decent but the acting was wooden and some of the scenes were really ridiculous,0
it is also terribly slow,0
the movie is nothing short of a masterpiece,0
ring 2 does precisely that,0
it appeals to the basest instincts but pretends to be serious and meaningful,0
many artists record live shows and then they make a lot of tweaking so the final product is far from what the actual concert really was,0
yes someone tell me this film and this kind of performance it 's too slow it 's so boring so many silences but i think that this components its fantastic its the right way for describing the love story between a very talented young girl the granddaughter of the italian actress anna magnani olivia and the old mysterious man toni,0
i rate it a 7 out of 10 as a romantic comedy,0
along the way you find that the path toward true innovation not as encouraged as one would expect or we would probably be driving cars on some form of extremely plentiful natural gas today,0
moon child combines scifi drama and action with the perfect cast and talent to create the most sensationally moving movie of the time and great for most audiences,0
the hotel is possessed by a supernatural force until it becomes just props,0
what is contained on this disk is a first rate show by a first rate band,0
this was one of those clever movies that had a twist at the end,0
if you do n't like arthouse definitely give it a miss,0
why would arthur and his wife and his knights all wear the same colors,0
1955 marked the high point of her career,0
if you are planning for a saturday morning movie to watch in bed while eating breakfast then this is your movie,0
i ca n't believe this guy had the chutzpah to think he should have been selected to play 007 rather than pierce brosnan,0
this is a great movie kids will love and i suspect the low score here may be due to animal activists who feel chimps should not snowboard,0
their choice is the initial evidence of their curiosity about all of the world 's people a quality that makes viewing their experiments immensely rewarding and fascinating today,0
bettany plays gangster 55 as a young man and malcolm mcdowell fills the role thirty years later,0
boy i never knew how bad a movie can be but after watching about 20 minutes of this piece of s i do,0
then of course the opening scene was of a tranquil lake outside some castle in europe and people began making very mocking barf sounds that was probably the most memorable thing of the whole movie,0
the most obvious flaw horrible horrible script,0
my architect also covers the difficulty louis kahn had with getting his designs accepted,0
i mean who is gonna believe that they captured the chupacabra and it broke loose on a cruise liner,0
tammy is a young college student still living with her folks,0
it does not need cgi sound effects or unreal characters,0
the darker moments were somewhat creepy this was helped by one of the most haunting music scores in a poirot adaptation maybe not as disturbing as the one in one two buckle my shoe which gave me nightmares,0
in fact the whole courtroom scene was masterfully done,0
a mad function that celebrates confusion of life and cinema not even a bit of fun in the middle of the way,0
john cusack as ed has the most interesting role followed closely by ray liotta 's rhodes,0
the mild blue content is really tame and based on a cartoony visual gag as is the violence,0
if it smells like and it looks like well you know the rest,0
shivers is considered to be his first proper film i personally liked shivers much more than the rest of cronenberg 's early films like the brood scanners for instance,0
whoever thought of that needs to go back to film school,0
umberto lenzi manages to ensure that all of the major players are interesting and lenzi also ensures that all are guilty in one way or another which ensures that everyone deserves what they get by the time it finishes,0
in the right hands an artist can create animation as full and fluid as any disney film and in the wrong hands it can look as bad as the stuff on the internet which is where lil' pimp originated and should 've stayed there,0
trouble is if any of them start taking real rips at the bungling democrats in power they could raise their ratings in a hurry because the best humor is always at the expense of whose in power,0
so danny ocean and the gang go to europe where rusty meets his old cop girlfriend isabelle,0
finally he straps on the skis and gets ready to go,0
i had heard about the story somewhere and remembered it was supposed to have really happened for real,0
i almost wondered if miike might dip into spy kids territory quite frankly,0
the moral of this story is simple nice guys finish last,0
another guy giving it a high rating for this beep just to be contrary,0
pretentious is the only conclusion i can draw,0
all interested in foreign film film in south america argentina will like this film,0
still straight and straightened out,0
the direction is uninspired and the two main bad guys have the most unsatisfying comeuppance at the end,0
you could got something out of it and feel something good or positive about yourself after the movie,0
twenty four year old robert downey jr renders a delightful performance ably assisted by cybil shepherd as the widow and ryan o'neal as a good friend,0
don activates the scepter and in a blinding flash the turtles are gone,0
sounds bleak but it is n't,0
a great start to an unbeatable comedy,0
the movie was boring but i watched it because it was on,0
the supporting cast were the nicest people i have ever seen on the face of the earth and their nice and perfect persona looked difficult to keep up,0
in the first we were given basic action well animated and choreographed animation but nothing eye popping however this movie 's cinematography was exceptional the use of shadows and lighting combining together to make the action all that more intense was very effective and added to the force of the fighting,0
the plot sucks and the whole film is just awful,0
these scenes are often competent and occasionally they 're good but in the context of the film they have little dramatic impact,0
i was thinking a long time about that,0
how many movies do we have to watch about children 's sports that are n't exactly the same thing as the last,0
he redefines what the term evil villain means,0
everyone in our theatre was laughing and gasping the whole way through not only were some of the stunts creative but some of the stuff they did took us completely by surprise,0
what i realized is that if you read the back of this video box it tells you the whole story seriously the whole thing,0
it 's time to get old william claude back where he belongs,0
plus the whole ideal of a being clean was real nice,0
this is a very stylish film with the colour of the sky changing scene by scene giving it a very strange look,0
he showed just the right amount of emotion and yet he made the viewers understand his feelings,0
there 's a story here of course but it 's obvious that the main intention of the project was to showcase the talents of the stars and some very mediocre songs by irving berlin and to dazzle the audience by filling the wide screen with brilliant colorful images,0
the novelty of the concept flourishes with intelligence and vision but it felt like something you would find in an episode of the twilight zone,0
if woody wants to win his fans back then he has to understand that our sense of humor and intelligence has to be stimulated not insulted,0
that 's it no plot no motive just blair witch tree shots and torture,0
we then have to wait for holmes to play catch up,0
this is one of the funniest film 's of disney 's live action library,0
it is true that there does not seem to be a clear focus in this film,0
and a shirtless oily middleaged often overacting charlton heston does n't exactly shout hero or academy award,0
i recommend parents sit with their younger children to watch this as it can be quite suspenseful for them,0
the highly unattractive detective goes out of his way to treat the female reporter like dog dirt at every opportunity for no apparent reason and she still follows him around like a puppy,0
definition of donkey punch a mediocre film trying desperately to make itself memorable by basing things around one scene that will stick in your mind for a while,0
to keep him quiet burns promises becker a percentage of his income,0
as one of the posters said just when you think he ca n't sink any lower he does,0
between these are below the average nearly bad as a movie,0
the acting is poor the plots of most episodes are trite and uninspiring the dialogue is weak the jokes unfunny and it is painful to try and sit through even half an episode,0
sadly it 's already too late for me,0
the depths this wonderful actress went to create her character in a realistic light should be applauded,0
id rather see that than this pile of trash,0
zero days contents are not specified until the middle to the end of the movie,0
my finger was worn out by the movie 's end having to continually raise and lower the volume,0
may he live to compose forever and always assisted by the great bruno nicolai an accomplished composer in his own right,0
nice well if you are into that sort of thing this movie still would n't be anything for you,0
god how i wish shoot to kill was one of those films,0
finally there is the pacing of eastwood 's direction,0
it 'll give you ideas on what to do next to spark up your relationship,0
ex if you had n't read the book you think what the heck happened to mary 's first husband,0
the point to this film is in its texture and in the ultimate fates of bart and egg,0
candace bergen as the mayor of new york is totally unbelievable,0
i love this film you ca n't not do if you like any of adam sandler 's,0
and this actress does seem to have a few chops herself,0
though discrete there was strong sexual connotation,0
it 's the job of the 1 doctor 1 nurse and 1 security guard in the entire hospital staff to drag this mental patient downstairs do a ritual that pretty much just involves cutting the tongue out and then allowing the haunted house prop of a demon to come out and steal his soul through the magic of cheesy special effects,0
what a privilege it was for a small town girl to experience this,0
all the pieces just fell into place and you can tell that she 's a great writer from what she did with this script,0
most of the characters were either italianamericans or italian immigrants living in new york in the twenties and thirties but their dialog sounded like they were practicing lines for a shakespeare play while they mixed cement and laid bricks,0
that 's something i cannot believe,0
also the casting of a young richard long and a very young natalie wood was a stroke of genius,0
i knew that before i saw the film,0
sure they used various actors for batman but in that instance batman was a classic character before any of the actor donned his cape,0
i saw this film last night following a lot of good reviews from many sources,0
hong 's film would 've looked like art house snobbery in action if not for the fact that it 's made in a very straightforward manner focusing mainly on the most basic of emotions,0
brilliant because of its social overtones,0
grant was nominated for his first academy award as best actor for his heartwrenching portrayal of a man that seems to repeatedly lose everyone he ever cares about,0
america ferrara has a very brief role in this film do n't just see it for her,0
she is the only reason i did not bestow a rating of 1 on this movie,0
told in crisply dated vignettes the film progresses through the depression and world war i as it offers tom and brother mike taking separate paths under the watchful eye of ma powers,0
a guy who idolizes hugh hefner,0
so do go see it,0
the only thing i did n't like about the film was the fact that peter cushing was wasted on the worst episode,0
and a remarkable one it is literally and figuratively,0
i was talking about it recently and all the sad memories came flooding back,0
this very well may be academy award material if the judges can remember back to the beginning of the year when this film is released,0
on its surface the movie tells the story of a tough drifter named bix who spends his time looking out for a young kid named danny and the girl carrie that bix meets who would like to look out for him,0
for reasons i do n't understand mgm which held the rights to the student prince did not make a sound version until 1954 odd when you consider that during the thirties they had allan jones under contract who would have been wonderful in the part,0
excellent movie i will recommend it to friends and try to see a few more charlotte rampling movies,0
william powell and myrna loy,0
anyways the plot has potential it sounded great in the preview but it is filled with totally ridiculous predictable weak plot turn points,0
but let it be known you 'll likely not come across a more wretchedly pretentious example of american independent filmmaking this year,0
it has many of the same qualities as the first series,0
two identical servants scrub the floor,0
i will also avoid mentioning the spoton satire office space' in the same breath as this celluloid catastrophe,0
it 's horrible do n't watch this movie,0
he 's ok as dracula but much better as the wolf man,0
go rent the navigator or the love nest by buster keaton now those are comedy classics,0
i knew i was going to see a low budget movie but i expected much more from an alex cox film,0
instead of a gun you 're more likely to see him with a drink in one hand a cigarette in the other a beautiful woman to ogle and a quick quip,0
half way through i turned it off in bored disgust,0
mifune is classic samurai and bronson is the funniest i have seen him in the many films i have watched,0
i just think the script had potential but the execution turned it into a clich and an awful one at that,0
if john candy or bill murray did police academy they could make it work,0
after this death scene i already gave up on the movie and started to irritate myself more and more about small things that went wrong,0
