text,label
it 's a red cross over here,0
woo take that did you see them on jonathon ross,0
but then i stupidly got up to do something,0
i love him so much,0
ok seriously my twitter binge is over now,0
finally my windows laptop has conked off,0
your clothes are now too expensive,0
i like twitterrific i have tweetie it isnt bad but i do prefer twitterrific 20,0
had to cut it out of my diet,0
watch the promos amp enjoy,0
count me in for sure,0
then we drove to leicester all delirious from tiredness amp the hotel was an epic fail haha,0
i hope the sun will shine tomorrow,0
is wishing i was with my line sisters eating cinnamon rolls eggs and bacon,0
let 's hope it works,0
how fares it in your burg,0
there is a huge storm going on outside,0
i write the wrong kinda fic,0
hi everybody back in twitterville,0
fwd i made it thru but u were u gone so sad,0
it 's so hot outside,0
weather is worse than in jan right now,0
i guess im going to sleep now,0
just burnt my mouth on pizza,0
gonna go shoppin with mommy,0
lovin the joe mac song,0
having another groundhog day at work i'm hungry,0
how about fruits and veggies,0
you should come play with us sometime,0
jet lag plus only a couple hours of sleep a night whew,0
i feel much better now,0
besides i have a ditto now,0
no i'm not going to camden cuz i gotta work and sat,0
i'm working on my book right now,0
mcr songs will do that,0
awww i'm off to grand designs,0
oh those ones are especially hard i had to do that last month i wrote 14 pages but couldnt send it goodluck,0
now im totally craving it,0
i would love to hang with you today,0
the email present just made me so happy,0
sick and does not wanna go to work,0
im not there but im sure itll be awsome,0
i only saw us addresses i emailed them anyway,0
i'm really excited for tomorrow,0
wish i was golfing with the fam on mother 's day,0
is the new browser for me,0
my gmail account is suddenly being swamped by spam,0
urghh finally im back home im done wit exams but one more left on thursday,0
me too still there 's always next season,0
all of team rick is at the phils without me,0
yep i'm going to kerry on the saturday as well so we 're gna so wel in the day then kerry then wel on sun,0
am finally gonna get out of bed,0
i'm so glad i discovered one tree hill,0
liars suck and everything sucks right now i'm very tired mentally,0
it was sad more than anything,0
come out to see you when you come to portland,0
recovering after an 11 day easter break in the sun back to work tomoro,0
took a quantum theory module and got hooked wish i 'd done biochem now lol,0
i fully expect never to see it again,0
i still believe in magic,0
and then ate a rough sub,0
said goodbye i 'll miss those kids,0
i only wish i can respond to everyone but i'm trying to conserve my phone since they wont let us charge our phones,0
oh i ca n't see on my phone,0
pretty impressive that she lets you anywhere near her while she 's sitting on her eggs,0
ps please change your picture,0
ford focus it 's not completely mine cause of my sister but close enough,0
is there something in the coffee this morn,0
my uber is acting up,0
i was gunna go grocery shopping but now my stomach hurtss,0
it 's a wrap next game orlando amp lakers guess what i do n't care for either,0
i hope you feel better,0
looking for a new job,0
i always wanted to tell you that you look like a horse and i hate you,0
just went and spent a few hours with my daddy,0
lol must u be so hard to please,0
at the hell hole today 7 hours left,0
i am on the last episode on season 1 law amp order svu,0
^__^ my birthday is tomorrow,0
haha internet vanished just as i was signing off,0
im watching that as well so excited,0
haha they ripped the nuggets i loved it,0
ah right ok cool xxxxx,0
i have tooo many followers tho,0
did you watch it till the end,0
it makes me when i see people replying to people that are only after followers and would never reply back,0
wish i was going too,0
umm maybe i should try sometimes,0
morning workout was a nogo,0
on my way to dodger stadium,0
1 is n't available till september i'm sure i 'll just forget amp it will be a nice surprise when they come,0
pop your going to be fine having a decent day listening to a rocket to the moon and the maine that 's all i need,0
never know how much the radio helped in exams,0
well at least until i find my charger cable,0
is that the sound of the rain,0
nooo i just have a stomachache,0
she has a macbook so envy her,0
on my way to work this week i shall mostly be in london,0
and you did n't answer me,0
can i fight nick for you,0
left her ipod and home keys at the office,0
miss palmer what program do you use to update using your blackberry for just tweet and not twitpics,0
lol but he didnt graduate negro left his sophomore year lol,0
unimpressed with today but enjoying the sunshine and livin life homies lt3,0
i gots 'the climb' stuck in my head,0
andy is coming second in the trending topics,0
i'm sure karma 's not done yet let it fill up the rage gauge,0
night night so tired briana keep textin me tee hee well got to go to bed got to wake up early tomorrow moring luv ya i love singing,0
or else there 's not much we can do with indonesian television they air what we actually want to see,0
waiting for the debris to settle,0
cinematic orchestra quite the finding,0
15 hours of work left yee,0
started my new job today,0
dreamed both mc one amp i were slaves amp it was kind of sad i am now feeling again proverbs 1022 cuz god is showing me that he knows i am,0
dude i have to go to my mom 's which is all old people,0
stay safe amp be blessed,0
well ca n't wait too see it,0
agreed on the least favorite status i'm only down to 3000,0
you realize i'm in oklahoma right,0
i 've been doing work all day about to go crazy here,0
i feel so sorry for the air france families,0
sorry i did n't come,0
know you will go on and do amazing inspiring things,0
you r not adopted ballet it is,0
i love the weather doing something with my honey today,0
gotta go to fkn mississippi 2moro,0
forgot to save you a slice,0
it 's in the philippines,0
its just not meant to be right now,0
you 've got to see it,0
what else to do on a rainy day beside staying home,0
time i went to bed i suppose,0
i suck at it now but haha,0
i just added uhm late much,0
did you get my text,0
lol i have n't seen the kyte thing yet and wo n't be able to for a while write me on myspace to tell me what happened lol,0
too funny there 's nothing wrong with a little granola,0
so i'm rewatching the first few seasons of buffy,0
spiritually superior than prez obama amp you will witness job,0
that really brought back memories xxx,0
